,index,Season,Week,Include,Team 1,Team 2,Spread Open,O/U Open,Open Favorite,Spread Close,O/U Close,Close Favorite,Spread Consensus Team 1,Spread Consensus Team 2,Over Consensus,Under Consensus,Moneyline Consensus Team 1,Moneyline Consensus Team 2,Game ID 1,Game ID 2
0,0,2020,1,True,Houston,KansasCity,-10.0,56.5,Team 2,-9.5,53.5,Team 2,50%,50%,72%,28%,26%,74%,20201HoustonKansasCity,20201KansasCityHouston
1,2,2020,1,True,LasVegas,Carolina,,,Team 1,,,Team 1,,,,,,,20201LasVegasCarolina,20201CarolinaLasVegas
2,4,2020,1,True,Miami,NewEngland,-5.5,43.5,Team 2,-7.0,41.5,Team 2,42%,58%,58%,42%,51%,49%,20201MiamiNewEngland,20201NewEnglandMiami
3,6,2020,1,True,Cleveland,Baltimore,-9.0,48.5,Team 2,-7.0,47.5,Team 2,40%,60%,72%,28%,25%,75%,20201ClevelandBaltimore,20201BaltimoreCleveland
4,8,2020,1,True,NYJets,Buffalo,-5.5,40.0,Team 2,-6.0,39.0,Team 2,20%,80%,49%,51%,23%,77%,20201NYJetsBuffalo,20201BuffaloNYJets
5,10,2020,1,True,LasVegas,Carolina,0.0,46.5,No Favorite,-3.0,48.0,Team 1,55%,45%,55%,45%,47%,53%,20201LasVegasCarolina,20201CarolinaLasVegas
6,12,2020,1,True,Seattle,Atlanta,-1.0,48.5,Team 1,0.0,49.5,No Favorite,42%,58%,62%,38%,48%,52%,20201SeattleAtlanta,20201AtlantaSeattle
7,14,2020,1,True,Philadelphia,Washington,-5.5,45.5,Team 1,-5.5,41.5,Team 1,51%,49%,57%,43%,63%,37%,20201PhiladelphiaWashington,20201WashingtonPhiladelphia
8,16,2020,1,True,Chicago,Detroit,0.0,44.0,No Favorite,-2.0,42.0,Team 2,45%,55%,55%,45%,36%,64%,20201ChicagoDetroit,20201DetroitChicago
9,18,2020,1,True,Indianapolis,Jacksonville,-7.0,46.0,Team 1,-7.0,44.5,Team 1,66%,34%,58%,42%,75%,25%,20201IndianapolisJacksonville,20201JacksonvilleIndianapolis
10,20,2020,1,True,GreenBay,Minnesota,-3.0,46.5,Team 2,-1.5,44.5,Team 2,52%,48%,44%,56%,45%,55%,20201GreenBayMinnesota,20201MinnesotaGreenBay
11,22,2020,1,True,LAChargers,Cincinnati,-3.5,46.5,Team 1,-2.5,41.0,Team 1,48%,52%,40%,60%,42%,58%,20201LAChargersCincinnati,20201CincinnatiLAChargers
12,24,2020,1,True,Arizona,SanFrancisco,-7.5,45.5,Team 2,-7.5,50.0,Team 1,48%,52%,64%,36%,35%,65%,20201ArizonaSanFrancisco,20201SanFranciscoArizona
13,26,2020,1,True,TampaBay,NewOrleans,-4.5,50.5,Team 2,-4.0,48.5,Team 2,58%,42%,82%,18%,46%,54%,20201TampaBayNewOrleans,20201NewOrleansTampaBay
14,28,2020,1,True,Dallas,LARams,-2.5,50.5,Team 1,0.0,52.0,No Favorite,66%,34%,60%,40%,60%,40%,20201DallasLARams,20201LARamsDallas
15,30,2020,1,True,Pittsburgh,NYGiants,-3.0,48.0,Team 1,-6.0,44.0,Team 1,69%,31%,59%,41%,79%,21%,20201PittsburghNYGiants,20201NYGiantsPittsburgh
16,32,2020,1,True,Tennessee,Denver,-1.5,42.5,Team 2,-3.0,41.5,Team 1,67%,33%,58%,42%,78%,22%,20201TennesseeDenver,20201DenverTennessee
17,34,2020,2,True,Cincinnati,Cleveland,-8.5,46.0,Team 2,-6.0,44.5,Team 2,58%,42%,59%,41%,42%,58%,20202CincinnatiCleveland,20202ClevelandCincinnati
18,36,2020,2,True,LARams,Philadelphia,-4.5,49.0,Team 2,-1.5,46.0,Team 2,70%,30%,75%,25%,56%,44%,20202LARamsPhiladelphia,20202PhiladelphiaLARams
19,38,2020,2,True,Carolina,TampaBay,-8.5,48.0,Team 2,-8.5,47.0,Team 2,39%,61%,74%,26%,21%,79%,20202CarolinaTampaBay,20202TampaBayCarolina
20,40,2020,2,True,Denver,Pittsburgh,-5.0,44.0,Team 2,-6.5,41.0,Team 2,29%,71%,46%,54%,10%,90%,20202DenverPittsburgh,20202PittsburghDenver
21,42,2020,2,True,Atlanta,Dallas,-7.5,50.0,Team 2,-3.0,53.5,Team 2,40%,60%,86%,14%,35%,65%,20202AtlantaDallas,20202DallasAtlanta
22,44,2020,2,True,SanFrancisco,NYJets,-4.0,43.5,Team 1,-7.0,41.5,Team 1,68%,32%,36%,64%,76%,24%,20202SanFranciscoNYJets,20202NYJetsSanFrancisco
23,46,2020,2,True,Buffalo,Miami,-3.0,43.0,Team 1,-5.5,42.5,Team 1,67%,33%,69%,31%,64%,36%,20202BuffaloMiami,20202MiamiBuffalo
24,48,2020,2,True,Minnesota,Indianapolis,-3.5,47.0,Team 2,-3.5,49.0,Team 2,72%,28%,73%,27%,80%,20%,20202MinnesotaIndianapolis,20202IndianapolisMinnesota
25,50,2020,2,True,Detroit,GreenBay,-6.5,46.0,Team 2,-6.5,51.0,Team 2,27%,73%,84%,16%,11%,89%,20202DetroitGreenBay,20202GreenBayDetroit
26,52,2020,2,True,NYGiants,Chicago,-5.0,43.5,Team 2,-4.5,42.5,Team 2,61%,39%,73%,27%,62%,38%,20202NYGiantsChicago,20202ChicagoNYGiants
27,54,2020,2,True,Jacksonville,Tennessee,-11.0,42.5,Team 2,-7.0,44.5,Team 2,45%,55%,64%,36%,38%,62%,20202JacksonvilleTennessee,20202TennesseeJacksonville
28,56,2020,2,True,Washington,Arizona,-7.0,45.5,Team 2,-7.0,46.5,Team 2,33%,67%,85%,15%,20%,80%,20202WashingtonArizona,20202ArizonaWashington
29,58,2020,2,True,Baltimore,Houston,-6.0,54.5,Team 1,-7.5,49.5,Team 1,69%,31%,80%,20%,58%,42%,20202BaltimoreHouston,20202HoustonBaltimore
30,60,2020,2,True,KansasCity,LAChargers,-5.5,51.5,Team 1,-9.0,47.5,Team 1,83%,17%,64%,36%,90%,10%,20202KansasCityLAChargers,20202LAChargersKansasCity
31,62,2020,2,True,NewEngland,Seattle,-3.5,44.0,Team 2,-4.5,45.0,Team 2,35%,65%,63%,37%,17%,83%,20202NewEnglandSeattle,20202SeattleNewEngland
32,64,2020,2,True,NewOrleans,LasVegas,-5.0,51.0,Team 1,-4.0,47.5,Team 1,58%,42%,70%,30%,60%,40%,20202NewOrleansLasVegas,20202LasVegasNewOrleans
33,66,2020,3,True,Miami,Jacksonville,0.0,44.0,No Favorite,-2.5,49.0,Team 2,35%,65%,65%,35%,24%,76%,20203MiamiJacksonville,20203JacksonvilleMiami
34,68,2020,3,True,LasVegas,NewEngland,-6.5,46.5,Team 2,-7.0,47.0,Team 2,38%,62%,59%,41%,48%,52%,20203LasVegasNewEngland,20203NewEnglandLasVegas
35,70,2020,3,True,LARams,Buffalo,-3.0,44.5,Team 2,-2.0,46.5,Team 2,42%,58%,66%,34%,51%,49%,20203LARamsBuffalo,20203BuffaloLARams
36,72,2020,3,True,Houston,Pittsburgh,-6.0,45.0,Team 2,-4.0,46.5,Team 2,52%,48%,80%,20%,9%,91%,20203HoustonPittsburgh,20203PittsburghHouston
37,74,2020,3,True,SanFrancisco,NYGiants,-6.5,42.5,Team 1,-3.0,43.5,Team 1,42%,58%,30%,70%,30%,70%,20203SanFranciscoNYGiants,20203NYGiantsSanFrancisco
38,76,2020,3,True,Tennessee,Minnesota,0.0,45.5,No Favorite,-2.5,49.0,Team 1,54%,46%,57%,43%,64%,36%,20203TennesseeMinnesota,20203MinnesotaTennessee
39,78,2020,3,True,Washington,Cleveland,-5.5,45.5,Team 2,-7.0,45.0,Team 2,35%,65%,66%,34%,24%,76%,20203WashingtonCleveland,20203ClevelandWashington
40,80,2020,3,True,Cincinnati,Philadelphia,-5.5,45.5,Team 2,-5.5,47.0,Team 2,59%,41%,80%,20%,28%,72%,20203CincinnatiPhiladelphia,20203PhiladelphiaCincinnati
41,82,2020,3,True,Chicago,Atlanta,-3.5,48.0,Team 2,-2.5,46.5,Team 2,32%,68%,76%,24%,31%,69%,20203ChicagoAtlanta,20203AtlantaChicago
42,84,2020,3,True,NYJets,Indianapolis,-7.0,45.0,Team 2,-11.5,44.0,Team 2,48%,52%,66%,34%,9%,91%,20203NYJetsIndianapolis,20203IndianapolisNYJets
43,86,2020,3,True,Carolina,LAChargers,-6.5,44.0,Team 2,-6.0,43.5,Team 2,37%,63%,57%,43%,52%,48%,20203CarolinaLAChargers,20203LAChargersCarolina
44,88,2020,3,True,Detroit,Arizona,-3.5,51.0,Team 2,-5.0,55.5,Team 2,33%,67%,65%,35%,30%,70%,20203DetroitArizona,20203ArizonaDetroit
45,90,2020,3,True,TampaBay,Denver,-3.5,44.5,Team 1,-6.0,42.5,Team 1,81%,19%,55%,45%,89%,11%,20203TampaBayDenver,20203DenverTampaBay
46,92,2020,3,True,Dallas,Seattle,-3.5,55.0,Team 2,-5.5,57.0,Team 2,55%,45%,59%,41%,60%,40%,20203DallasSeattle,20203SeattleDallas
47,94,2020,3,True,GreenBay,NewOrleans,-6.5,51.5,Team 2,-3.0,52.0,Team 2,55%,45%,73%,27%,51%,49%,20203GreenBayNewOrleans,20203NewOrleansGreenBay
48,96,2020,3,True,KansasCity,Baltimore,-2.5,52.0,Team 2,-3.5,55.0,Team 2,47%,53%,70%,30%,57%,43%,20203KansasCityBaltimore,20203BaltimoreKansasCity
49,98,2020,4,True,Denver,NYJets,,,Team 1,-1.0,41.0,Team 2,34%,66%,64%,36%,33%,67%,20204DenverNYJets,20204NYJetsDenver
50,100,2020,4,True,Indianapolis,Chicago,0.0,45.0,No Favorite,-3.5,43.5,Team 1,43%,57%,60%,40%,42%,58%,20204IndianapolisChicago,20204ChicagoIndianapolis
51,102,2020,4,True,NewOrleans,Detroit,-4.0,56.0,Team 1,-3.0,52.0,Team 1,65%,35%,83%,17%,60%,40%,20204NewOrleansDetroit,20204DetroitNewOrleans
52,104,2020,4,True,Arizona,Carolina,-3.5,51.0,Team 1,-3.0,52.0,Team 1,76%,24%,71%,29%,80%,20%,20204ArizonaCarolina,20204CarolinaArizona
53,106,2020,4,True,Jacksonville,Cincinnati,-3.0,48.0,Team 2,-1.5,49.5,Team 2,43%,57%,58%,42%,49%,51%,20204JacksonvilleCincinnati,20204CincinnatiJacksonville
54,108,2020,4,True,Cleveland,Dallas,-4.0,54.0,Team 2,-3.5,56.5,Team 2,27%,73%,75%,25%,17%,83%,20204ClevelandDallas,20204DallasCleveland
55,110,2020,4,True,Minnesota,Houston,-4.0,49.5,Team 2,-3.5,53.0,Team 2,42%,58%,79%,21%,67%,33%,20204MinnesotaHouston,20204HoustonMinnesota
56,112,2020,4,True,Seattle,Miami,-6.5,54.0,Team 1,-4.5,55.0,Team 1,70%,30%,72%,28%,89%,11%,20204SeattleMiami,20204MiamiSeattle
57,114,2020,4,True,LAChargers,TampaBay,-4.5,45.5,Team 2,-7.5,42.0,Team 2,29%,71%,68%,32%,18%,82%,20204LAChargersTampaBay,20204TampaBayLAChargers
58,116,2020,4,True,Pittsburgh,Tennessee,-3.0,47.5,Team 2,-1.0,47.0,Team 1,n/a,n/a,n/a,n/a,n/a,n/a,20204PittsburghTennessee,20204TennesseePittsburgh
59,118,2020,4,True,Baltimore,Washington,-12.0,52.0,Team 1,-14.0,45.0,Team 1,83%,17%,63%,37%,95%,5%,20204BaltimoreWashington,20204WashingtonBaltimore
60,120,2020,4,True,NYGiants,LARams,-9.0,47.0,Team 2,-13.5,50.0,Team 2,13%,87%,72%,28%,18%,82%,20204NYGiantsLARams,20204LARamsNYGiants
61,122,2020,4,True,NewEngland,KansasCity,-8.0,53.5,Team 2,-7.0,49.5,Team 2,23%,77%,38%,62%,11%,89%,20204NewEnglandKansasCity,20204KansasCityNewEngland
62,124,2020,4,True,Buffalo,LasVegas,-2.5,49.5,Team 1,-3.0,53.0,Team 1,72%,28%,67%,33%,45%,55%,20204BuffaloLasVegas,20204LasVegasBuffalo
63,126,2020,4,True,Philadelphia,SanFrancisco,-3.0,45.5,Team 2,-8.0,45.5,Team 2,54%,46%,75%,25%,46%,54%,20204PhiladelphiaSanFrancisco,20204SanFranciscoPhiladelphia
64,128,2020,4,True,Atlanta,GreenBay,-5.0,57.5,Team 2,-5.0,56.5,Team 2,36%,64%,68%,32%,45%,55%,20204AtlantaGreenBay,20204GreenBayAtlanta
65,130,2020,4,True,NewEngland,KansasCity,-11.5,50.5,Team 2,-11.5,48.5,Team 2,33%,67%,62%,38%,8%,92%,20204NewEnglandKansasCity,20204KansasCityNewEngland
66,132,2020,5,True,TampaBay,Chicago,-3.0,45.5,Team 1,-3.5,44.0,Team 1,74%,26%,66%,34%,71%,29%,20205TampaBayChicago,20205ChicagoTampaBay
67,134,2020,5,True,Carolina,Atlanta,-3.5,55.0,Team 2,-2.5,53.5,Team 2,34%,66%,72%,28%,56%,44%,20205CarolinaAtlanta,20205AtlantaCarolina
68,136,2020,5,True,LasVegas,KansasCity,-11.5,43.0,Team 2,-10.5,54.5,Team 2,37%,63%,68%,32%,24%,76%,20205LasVegasKansasCity,20205KansasCityLasVegas
69,138,2020,5,True,Denver,NewEngland,-10.0,48.5,Team 2,-5.0,48.5,Team 2,n/a,n/a,n/a,n/a,n/a,n/a,20205DenverNewEngland,20205NewEnglandDenver
70,140,2020,5,True,LARams,Washington,-9.5,40.0,Team 1,-7.0,44.5,Team 1,68%,32%,55%,45%,70%,30%,20205LARamsWashington,20205WashingtonLARams
71,142,2020,5,True,Jacksonville,Houston,-6.5,47.0,Team 2,-6.5,54.5,Team 2,32%,68%,73%,27%,18%,82%,20205JacksonvilleHouston,20205HoustonJacksonville
72,144,2020,5,True,Buffalo,Tennessee,,,Team 1,-1.0,49.0,Team 1,n/a,n/a,n/a,n/a,n/a,n/a,20205BuffaloTennessee,20205TennesseeBuffalo
73,146,2020,5,True,Arizona,NYJets,-8.5,44.5,Team 1,-7.0,48.5,Team 1,68%,32%,44%,56%,88%,12%,20205ArizonaNYJets,20205NYJetsArizona
74,148,2020,5,True,Philadelphia,Pittsburgh,-7.0,44.0,Team 2,-7.5,44.0,Team 2,34%,66%,61%,39%,18%,82%,20205PhiladelphiaPittsburgh,20205PittsburghPhiladelphia
75,150,2020,5,True,Cincinnati,Baltimore,-13.0,46.0,Team 2,-12.5,49.0,Team 2,63%,37%,77%,23%,53%,47%,20205CincinnatiBaltimore,20205BaltimoreCincinnati
76,152,2020,5,True,Miami,SanFrancisco,-8.5,46.5,Team 2,-8.0,50.5,Team 2,40%,60%,58%,42%,41%,59%,20205MiamiSanFrancisco,20205SanFranciscoMiami
77,154,2020,5,True,NYGiants,Dallas,-11.0,44.0,Team 2,-7.5,52.0,Team 2,34%,66%,59%,41%,7%,93%,20205NYGiantsDallas,20205DallasNYGiants
78,156,2020,5,True,Indianapolis,Cleveland,-2.5,46.5,Team 1,-1.0,49.0,Team 2,36%,64%,39%,61%,53%,47%,20205IndianapolisCleveland,20205ClevelandIndianapolis
79,158,2020,5,True,Minnesota,Seattle,-9.0,49.5,Team 2,-6.5,54.0,Team 2,33%,67%,81%,19%,20%,80%,20205MinnesotaSeattle,20205SeattleMinnesota
80,160,2020,5,True,LAChargers,NewOrleans,-7.5,50.0,Team 2,-7.0,49.0,Team 2,31%,69%,69%,31%,19%,81%,20205LAChargersNewOrleans,20205NewOrleansLAChargers
81,162,2020,5,True,Denver,NewEngland,,-5.0,Team 1,,,Team 1,,,,,,,20205DenverNewEngland,20205NewEnglandDenver
82,164,2020,5,True,Buffalo,Tennessee,-6.5,53.0,Team 1,-3.0,52.0,Team 1,69%,31%,52%,48%,69%,31%,20205BuffaloTennessee,20205TennesseeBuffalo
83,166,2020,6,True,Chicago,Carolina,-3.0,44.0,Team 2,-1.5,45.0,Team 2,46%,54%,65%,35%,65%,35%,20206ChicagoCarolina,20206CarolinaChicago
84,168,2020,6,True,Detroit,Jacksonville,-2.5,52.5,Team 1,-3.0,53.0,Team 1,76%,24%,71%,29%,74%,26%,20206DetroitJacksonville,20206JacksonvilleDetroit
85,170,2020,6,True,Atlanta,Minnesota,-3.5,57.0,Team 2,-3.5,53.5,Team 2,30%,70%,89%,11%,29%,71%,20206AtlantaMinnesota,20206MinnesotaAtlanta
86,172,2020,6,True,Houston,Tennessee,-5.5,55.0,Team 2,-4.0,52.0,Team 2,41%,59%,70%,30%,18%,82%,20206HoustonTennessee,20206TennesseeHouston
87,174,2020,6,True,Washington,NYGiants,-3.5,44.5,Team 2,-1.5,42.0,Team 2,56%,44%,51%,49%,53%,47%,20206WashingtonNYGiants,20206NYGiantsWashington
88,176,2020,6,True,Cleveland,Pittsburgh,-5.5,51.0,Team 2,-3.0,50.0,Team 2,28%,72%,67%,33%,44%,56%,20206ClevelandPittsburgh,20206PittsburghCleveland
89,178,2020,6,True,Baltimore,Philadelphia,-7.0,49.0,Team 1,-10.0,46.5,Team 1,59%,41%,69%,31%,75%,25%,20206BaltimorePhiladelphia,20206PhiladelphiaBaltimore
90,180,2020,6,True,Cincinnati,Indianapolis,-9.5,46.5,Team 2,-7.5,46.0,Team 2,57%,43%,65%,35%,23%,77%,20206CincinnatiIndianapolis,20206IndianapolisCincinnati
91,182,2020,6,True,GreenBay,TampaBay,-3.0,52.0,Team 2,-2.5,55.0,Team 1,76%,24%,81%,19%,51%,49%,20206GreenBayTampaBay,20206TampaBayGreenBay
92,184,2020,6,True,LARams,SanFrancisco,-3.0,49.5,Team 2,-2.5,51.0,Team 1,68%,32%,69%,31%,62%,38%,20206LARamsSanFrancisco,20206SanFranciscoLARams
93,186,2020,6,True,NYJets,Miami,-8.0,49.5,Team 2,-9.0,46.5,Team 2,33%,67%,62%,38%,15%,85%,20206NYJetsMiami,20206MiamiNYJets
94,188,2020,6,True,Denver,NewEngland,,,Team 1,,,Team 1,23%,77%,35%,65%,8%,92%,20206DenverNewEngland,20206NewEnglandDenver
95,190,2020,6,True,Arizona,Dallas,-3.0,52.0,Team 2,-1.0,56.0,Team 2,41%,59%,72%,28%,56%,44%,20206ArizonaDallas,20206DallasArizona
96,192,2020,6,True,KansasCity,Buffalo,-3.0,55.0,Team 1,-5.5,55.0,Team 1,69%,31%,78%,22%,85%,15%,20206KansasCityBuffalo,20206BuffaloKansasCity
97,194,2020,7,True,NYGiants,Philadelphia,-7.0,45.0,Team 2,-5.0,44.5,Team 2,33%,67%,59%,41%,35%,65%,20207NYGiantsPhiladelphia,20207PhiladelphiaNYGiants
98,196,2020,7,True,Cleveland,Cincinnati,-4.5,52.0,Team 1,-4.0,50.5,Team 1,71%,29%,62%,38%,69%,31%,20207ClevelandCincinnati,20207CincinnatiCleveland
99,198,2020,7,True,Dallas,Washington,-3.5,49.0,Team 1,0.0,45.0,No Favorite,71%,29%,60%,40%,64%,36%,20207DallasWashington,20207WashingtonDallas
100,200,2020,7,True,Detroit,Atlanta,-1.5,56.5,Team 2,-1.0,55.0,Team 2,53%,47%,80%,20%,53%,47%,20207DetroitAtlanta,20207AtlantaDetroit
101,202,2020,7,True,Carolina,NewOrleans,-7.0,51.0,Team 2,-7.0,50.0,Team 2,52%,48%,76%,24%,68%,32%,20207CarolinaNewOrleans,20207NewOrleansCarolina
102,204,2020,7,True,Buffalo,NYJets,-10.5,48.0,Team 1,-9.5,46.5,Team 1,73%,27%,60%,40%,93%,7%,20207BuffaloNYJets,20207NYJetsBuffalo
103,206,2020,7,True,GreenBay,Houston,-3.5,56.0,Team 1,-3.0,55.5,Team 1,67%,33%,62%,38%,70%,30%,20207GreenBayHouston,20207HoustonGreenBay
104,208,2020,7,True,Seattle,Arizona,-2.5,55.0,Team 1,-3.5,55.5,Team 1,59%,41%,78%,22%,75%,25%,20207SeattleArizona,20207ArizonaSeattle
105,210,2020,7,True,SanFrancisco,NewEngland,-5.0,45.5,Team 2,-3.0,44.5,Team 2,36%,64%,69%,31%,46%,54%,20207SanFranciscoNewEngland,20207NewEnglandSanFrancisco
106,212,2020,7,True,KansasCity,Denver,-10.0,49.5,Team 1,-7.0,46.0,Team 1,66%,34%,61%,39%,96%,4%,20207KansasCityDenver,20207DenverKansasCity
107,214,2020,7,True,TampaBay,LasVegas,-2.5,53.5,Team 1,-4.0,51.5,Team 1,66%,34%,78%,22%,81%,19%,20207TampaBayLasVegas,20207LasVegasTampaBay
108,216,2020,7,True,Pittsburgh,Tennessee,-1.0,52.5,Team 2,-1.0,51.0,Team 2,55%,45%,51%,49%,63%,37%,20207PittsburghTennessee,20207TennesseePittsburgh
109,218,2020,7,True,Jacksonville,LAChargers,-7.5,48.0,Team 2,-7.5,48.5,Team 2,45%,55%,75%,25%,36%,64%,20207JacksonvilleLAChargers,20207LAChargersJacksonville
110,220,2020,7,True,Chicago,LARams,-7.5,47.0,Team 2,-6.5,44.0,Team 2,52%,48%,45%,55%,31%,69%,20207ChicagoLARams,20207LARamsChicago
111,222,2019,1,True,GreenBay,Chicago,-3.5,46.0,Team 2,-3.0,46.5,Team 2,43%,57%,46%,54%,44%,56%,20191GreenBayChicago,20191ChicagoGreenBay
112,224,2019,1,True,Atlanta,Minnesota,-4.5,47.5,Team 2,-4.0,47.5,Team 2,54%,46%,60%,40%,65%,35%,20191AtlantaMinnesota,20191MinnesotaAtlanta
113,226,2019,1,True,Washington,Philadelphia,-8.5,46.5,Team 2,-10.0,44.0,Team 2,24%,76%,37%,63%,10%,90%,20191WashingtonPhiladelphia,20191PhiladelphiaWashington
114,228,2019,1,True,Buffalo,NYJets,-3.5,38.5,Team 2,-3.0,41.5,Team 2,40%,60%,70%,30%,80%,20%,20191BuffaloNYJets,20191NYJetsBuffalo
115,230,2019,1,True,Baltimore,Miami,-4.0,37.0,Team 1,-7.0,40.5,Team 1,73%,27%,68%,32%,91%,9%,20191BaltimoreMiami,20191MiamiBaltimore
116,232,2019,1,True,SanFrancisco,TampaBay,-2.5,49.0,Team 2,-1.0,51.0,Team 2,49%,51%,68%,32%,57%,43%,20191SanFranciscoTampaBay,20191TampaBaySanFrancisco
117,234,2019,1,True,KansasCity,Jacksonville,-5.5,52.0,Team 1,-3.5,49.0,Team 1,58%,42%,42%,58%,86%,14%,20191KansasCityJacksonville,20191JacksonvilleKansasCity
118,236,2019,1,True,Tennessee,Cleveland,-5.0,45.0,Team 2,-5.5,45.5,Team 2,40%,60%,35%,65%,16%,84%,20191TennesseeCleveland,20191ClevelandTennessee
119,238,2019,1,True,LARams,Carolina,-2.5,51.0,Team 1,-1.5,49.5,Team 1,63%,37%,23%,77%,72%,28%,20191LARamsCarolina,20191CarolinaLARams
120,240,2019,1,True,Detroit,Arizona,0.0,49.0,No Favorite,-2.5,46.0,Team 1,66%,34%,54%,46%,55%,45%,20191DetroitArizona,20191ArizonaDetroit
121,242,2019,1,True,Cincinnati,Seattle,-9.0,43.5,Team 2,-9.5,43.5,Team 2,34%,66%,54%,46%,24%,76%,20191CincinnatiSeattle,20191SeattleCincinnati
122,244,2019,1,True,Indianapolis,LAChargers,-3.5,48.0,Team 2,-6.0,45.0,Team 2,49%,51%,49%,51%,46%,54%,20191IndianapolisLAChargers,20191LAChargersIndianapolis
123,246,2019,1,True,NYGiants,Dallas,-7.5,46.5,Team 2,-7.0,44.5,Team 2,34%,66%,52%,48%,14%,86%,20191NYGiantsDallas,20191DallasNYGiants
124,248,2019,1,True,Pittsburgh,NewEngland,-6.5,51.5,Team 2,-6.0,49.0,Team 2,42%,58%,47%,53%,24%,76%,20191PittsburghNewEngland,20191NewEnglandPittsburgh
125,250,2019,1,True,Houston,NewOrleans,-9.0,54.0,Team 2,-7.0,52.0,Team 2,45%,55%,67%,33%,17%,83%,20191HoustonNewOrleans,20191NewOrleansHouston
126,252,2019,1,True,Denver,Oakland,-3.0,43.0,Team 2,-1.5,43.0,Team 2,70%,30%,47%,53%,57%,43%,20191DenverOakland,20191OaklandDenver
127,254,2019,2,True,TampaBay,Carolina,-5.0,51.0,Team 2,-6.5,48.0,Team 2,29%,71%,48%,52%,11%,89%,20192TampaBayCarolina,20192CarolinaTampaBay
128,256,2019,2,True,Indianapolis,Tennessee,-3.0,44.0,Team 2,-3.0,43.5,Team 2,31%,69%,29%,71%,53%,47%,20192IndianapolisTennessee,20192TennesseeIndianapolis
129,258,2019,2,True,LAChargers,Detroit,-2.5,47.0,Team 1,-1.0,47.0,Team 1,51%,49%,55%,45%,37%,63%,20192LAChargersDetroit,20192DetroitLAChargers
130,260,2019,2,True,Buffalo,NYGiants,-2.5,43.0,Team 1,-1.0,44.5,Team 1,50%,50%,37%,63%,79%,21%,20192BuffaloNYGiants,20192NYGiantsBuffalo
131,262,2019,2,True,Arizona,Baltimore,-13.5,41.5,Team 2,-13.0,46.0,Team 2,46%,54%,83%,17%,36%,64%,20192ArizonaBaltimore,20192BaltimoreArizona
132,264,2019,2,True,NewEngland,Miami,-14.5,47.0,Team 1,-18.0,48.5,Team 1,62%,38%,41%,59%,87%,13%,20192NewEnglandMiami,20192MiamiNewEngland
133,266,2019,2,True,Dallas,Washington,-7.0,44.0,Team 1,-6.0,46.5,Team 1,69%,31%,79%,21%,82%,18%,20192DallasWashington,20192WashingtonDallas
134,268,2019,2,True,Jacksonville,Houston,-9.5,44.5,Team 2,-7.0,43.0,Team 2,52%,48%,26%,74%,35%,65%,20192JacksonvilleHouston,20192HoustonJacksonville
135,270,2019,2,True,Seattle,Pittsburgh,-4.0,46.5,Team 2,-4.0,47.0,Team 2,29%,71%,76%,24%,51%,49%,20192SeattlePittsburgh,20192PittsburghSeattle
136,272,2019,2,True,SanFrancisco,Cincinnati,-1.5,45.0,Team 1,-1.0,46.5,Team 2,35%,65%,73%,27%,57%,43%,20192SanFranciscoCincinnati,20192CincinnatiSanFrancisco
137,274,2019,2,True,Minnesota,GreenBay,-3.0,46.0,Team 2,-3.0,43.0,Team 2,57%,43%,39%,61%,30%,70%,20192MinnesotaGreenBay,20192GreenBayMinnesota
138,276,2019,2,True,KansasCity,Oakland,-8.5,53.5,Team 1,-7.0,53.0,Team 1,70%,30%,83%,17%,67%,33%,20192KansasCityOakland,20192OaklandKansasCity
139,278,2019,2,True,NewOrleans,LARams,-3.0,53.5,Team 2,-1.5,52.5,Team 2,33%,67%,74%,26%,21%,79%,20192NewOrleansLARams,20192LARamsNewOrleans
140,280,2019,2,True,Chicago,Denver,-1.0,41.5,Team 2,-2.5,40.5,Team 1,59%,41%,34%,66%,83%,17%,20192ChicagoDenver,20192DenverChicago
141,282,2019,2,True,Philadelphia,Atlanta,0.0,51.0,No Favorite,-1.0,53.0,Team 1,58%,42%,73%,27%,48%,52%,20192PhiladelphiaAtlanta,20192AtlantaPhiladelphia
142,284,2019,2,True,Cleveland,NYJets,-2.5,45.5,Team 1,-6.5,45.0,Team 1,57%,43%,51%,49%,74%,26%,20192ClevelandNYJets,20192NYJetsCleveland
143,286,2019,3,True,Tennessee,Jacksonville,-6.5,48.5,Team 2,-1.5,38.0,Team 1,52%,48%,48%,52%,72%,28%,20193TennesseeJacksonville,20193JacksonvilleTennessee
144,288,2019,3,True,Denver,GreenBay,-6.5,43.5,Team 2,-7.0,41.5,Team 2,43%,57%,45%,55%,5%,95%,20193DenverGreenBay,20193GreenBayDenver
145,290,2019,3,True,Detroit,Philadelphia,-7.0,49.5,Team 2,-4.0,44.5,Team 2,60%,40%,58%,42%,50%,50%,20193DetroitPhiladelphia,20193PhiladelphiaDetroit
146,292,2019,3,True,Baltimore,KansasCity,-6.0,51.5,Team 2,-4.5,52.0,Team 2,38%,62%,69%,31%,12%,88%,20193BaltimoreKansasCity,20193KansasCityBaltimore
147,294,2019,3,True,Cincinnati,Buffalo,-4.0,40.5,Team 2,-6.0,43.5,Team 2,54%,46%,38%,62%,48%,52%,20193CincinnatiBuffalo,20193BuffaloCincinnati
