,index,Season,Week,Include,Team 1,Team 2,Team 1 Final,Team 2 Final,Total Final,Game ID 1,Game ID 2
100,200,2016,4,True,Detroit,Chicago,14,17,31,20164DetroitChicago,20164ChicagoDetroit
101,202,2016,4,True,Denver,TampaBay,27,7,34,20164DenverTampaBay,20164TampaBayDenver
102,204,2016,4,True,LosAngeles,Arizona,17,13,30,20164LosAngelesArizona,20164ArizonaLosAngeles
103,206,2016,4,True,NewOrleans,SanDiego,35,34,69,20164NewOrleansSanDiego,20164SanDiegoNewOrleans
104,208,2016,4,True,Dallas,SanFrancisco,24,17,41,20164DallasSanFrancisco,20164SanFranciscoDallas
105,210,2016,4,True,KansasCity,Pittsburgh,14,43,57,20164KansasCityPittsburgh,20164PittsburghKansasCity
106,212,2016,4,True,NYGiants,Minnesota,10,24,34,20164NYGiantsMinnesota,20164MinnesotaNYGiants
107,214,2016,5,True,Arizona,SanFrancisco,33,21,54,20165ArizonaSanFrancisco,20165SanFranciscoArizona
108,216,2016,5,True,NewEngland,Cleveland,33,13,46,20165NewEnglandCleveland,20165ClevelandNewEngland
109,218,2016,5,True,Philadelphia,Detroit,23,24,47,20165PhiladelphiaDetroit,20165DetroitPhiladelphia
110,220,2016,5,True,Chicago,Indianapolis,23,29,52,20165ChicagoIndianapolis,20165IndianapolisChicago
111,222,2016,5,True,Tennessee,Miami,30,17,47,20165TennesseeMiami,20165MiamiTennessee
112,224,2016,5,True,Washington,Baltimore,16,10,26,20165WashingtonBaltimore,20165BaltimoreWashington
113,226,2016,5,True,Houston,Minnesota,13,31,44,20165HoustonMinnesota,20165MinnesotaHouston
114,228,2016,5,True,NYJets,Pittsburgh,13,31,44,20165NYJetsPittsburgh,20165PittsburghNYJets
115,230,2016,5,True,Atlanta,Denver,23,16,39,20165AtlantaDenver,20165DenverAtlanta
116,232,2016,5,True,Cincinnati,Dallas,14,28,42,20165CincinnatiDallas,20165DallasCincinnati
117,234,2016,5,True,Buffalo,LosAngeles,30,19,49,20165BuffaloLosAngeles,20165LosAngelesBuffalo
118,236,2016,5,True,SanDiego,Oakland,31,34,65,20165SanDiegoOakland,20165OaklandSanDiego
119,238,2016,5,True,NYGiants,GreenBay,16,23,39,20165NYGiantsGreenBay,20165GreenBayNYGiants
120,240,2016,5,True,TampaBay,Carolina,17,14,31,20165TampaBayCarolina,20165CarolinaTampaBay
121,242,2016,6,True,Denver,SanDiego,13,21,34,20166DenverSanDiego,20166SanDiegoDenver
122,244,2016,6,True,SanFrancisco,Buffalo,16,45,61,20166SanFranciscoBuffalo,20166BuffaloSanFrancisco
123,246,2016,6,True,Philadelphia,Washington,20,27,47,20166PhiladelphiaWashington,20166WashingtonPhiladelphia
124,248,2016,6,True,Cleveland,Tennessee,26,28,54,20166ClevelandTennessee,20166TennesseeCleveland
125,250,2016,6,True,Baltimore,NYGiants,23,27,50,20166BaltimoreNYGiants,20166NYGiantsBaltimore
126,252,2016,6,True,Carolina,NewOrleans,38,41,79,20166CarolinaNewOrleans,20166NewOrleansCarolina
127,254,2016,6,True,Jacksonville,Chicago,17,16,33,20166JacksonvilleChicago,20166ChicagoJacksonville
128,256,2016,6,True,LosAngeles,Detroit,28,31,59,20166LosAngelesDetroit,20166DetroitLosAngeles
129,258,2016,6,True,Pittsburgh,Miami,15,30,45,20166PittsburghMiami,20166MiamiPittsburgh
130,260,2016,6,True,Cincinnati,NewEngland,17,35,52,20166CincinnatiNewEngland,20166NewEnglandCincinnati
131,262,2016,6,True,KansasCity,Oakland,26,10,36,20166KansasCityOakland,20166OaklandKansasCity
132,264,2016,6,True,Atlanta,Seattle,24,26,50,20166AtlantaSeattle,20166SeattleAtlanta
133,266,2016,6,True,Dallas,GreenBay,30,16,46,20166DallasGreenBay,20166GreenBayDallas
134,268,2016,6,True,Indianapolis,Houston,23,26,49,20166IndianapolisHouston,20166HoustonIndianapolis
135,270,2016,6,True,NYJets,Arizona,3,28,31,20166NYJetsArizona,20166ArizonaNYJets
136,272,2016,7,True,Chicago,GreenBay,10,26,36,20167ChicagoGreenBay,20167GreenBayChicago
137,274,2016,7,True,NYGiants,LosAngeles,17,10,27,20167NYGiantsLosAngeles,20167LosAngelesNYGiants
138,276,2016,7,True,NewOrleans,KansasCity,21,27,48,20167NewOrleansKansasCity,20167KansasCityNewOrleans
139,278,2016,7,True,Indianapolis,Tennessee,34,26,60,20167IndianapolisTennessee,20167TennesseeIndianapolis
140,280,2016,7,True,Minnesota,Philadelphia,10,21,31,20167MinnesotaPhiladelphia,20167PhiladelphiaMinnesota
141,282,2016,7,True,Cleveland,Cincinnati,17,31,48,20167ClevelandCincinnati,20167CincinnatiCleveland
142,284,2016,7,True,Washington,Detroit,17,20,37,20167WashingtonDetroit,20167DetroitWashington
143,286,2016,7,True,Oakland,Jacksonville,33,16,49,20167OaklandJacksonville,20167JacksonvilleOakland
144,288,2016,7,True,Buffalo,Miami,25,28,53,20167BuffaloMiami,20167MiamiBuffalo
145,290,2016,7,True,Baltimore,NYJets,16,24,40,20167BaltimoreNYJets,20167NYJetsBaltimore
146,292,2016,7,True,TampaBay,SanFrancisco,34,17,51,20167TampaBaySanFrancisco,20167SanFranciscoTampaBay
147,294,2016,7,True,SanDiego,Atlanta,33,30,63,20167SanDiegoAtlanta,20167AtlantaSanDiego
