,index_x,Season_x,Week_x,Include_x,Team 1_x,Team 2_x,Spread Open,O/U Open,Open Favorite,Spread Close,O/U Close,Close Favorite,Spread Consensus Team 1,Spread Consensus Team 2,Over Consensus,Under Consensus,Moneyline Consensus Team 1,Moneyline Consensus Team 2,Game ID 1,Game ID 2,index_y,Season_y,Week_y,Include_y,Team 1_y,Team 2_y,Team 1 Final,Team 2 Final,Total Final
269,544,2019,11,True,KansasCity,LAChargers,-3.0,49.0,Team 1,-6.0,53.0,Team 1,59%,41%,65%,35%,72%,28%,201911KansasCityLAChargers,201911LAChargersKansasCity,1946,2019,11,True,KansasCity,LAChargers,24.0,17.0,41.0
270,546,2019,12,True,Indianapolis,Houston,-5.5,46.5,Team 2,-3.5,46.5,Team 2,43%,57%,72%,28%,19%,81%,201912IndianapolisHouston,201912HoustonIndianapolis,1948,2019,12,True,Indianapolis,Houston,17.0,20.0,37.0
271,548,2019,12,True,Miami,Cleveland,-9.0,45.0,Team 2,-10.5,46.0,Team 2,46%,54%,82%,18%,18%,82%,201912MiamiCleveland,201912ClevelandMiami,1958,2019,12,True,Miami,Cleveland,24.0,41.0,65.0
272,550,2019,12,True,Denver,Buffalo,-5.5,35.0,Team 2,-4.0,37.0,Team 2,47%,53%,51%,49%,20%,80%,201912DenverBuffalo,201912BuffaloDenver,1952,2019,12,True,Denver,Buffalo,3.0,20.0,23.0
273,552,2019,12,True,Pittsburgh,Cincinnati,-7.0,40.0,Team 1,-6.0,37.0,Team 1,55%,45%,14%,86%,78%,22%,201912PittsburghCincinnati,201912CincinnatiPittsburgh,1956,2019,12,True,Pittsburgh,Cincinnati,16.0,10.0,26.0
274,554,2019,12,True,NYGiants,Chicago,-7.0,41.0,Team 2,-6.0,40.5,Team 2,51%,49%,46%,54%,41%,59%,201912NYGiantsChicago,201912ChicagoNYGiants,1954,2019,12,True,NYGiants,Chicago,14.0,19.0,33.0
275,556,2019,12,True,Oakland,NYJets,-3.0,47.0,Team 1,-3.5,45.0,Team 1,51%,49%,59%,41%,63%,37%,201912OaklandNYJets,201912NYJetsOakland,1962,2019,12,True,Oakland,NYJets,3.0,34.0,37.0
276,558,2019,12,True,Carolina,NewOrleans,-7.0,48.0,Team 2,-10.0,46.5,Team 2,43%,57%,71%,29%,5%,95%,201912CarolinaNewOrleans,201912NewOrleansCarolina,1960,2019,12,True,Carolina,NewOrleans,31.0,34.0,65.0
277,560,2019,12,True,TampaBay,Atlanta,-3.0,54.5,Team 2,-3.5,51.5,Team 2,33%,67%,76%,24%,11%,89%,201912TampaBayAtlanta,201912AtlantaTampaBay,1950,2019,12,True,TampaBay,Atlanta,35.0,22.0,57.0
278,562,2019,12,True,Detroit,Washington,-1.5,41.0,Team 1,-4.0,39.0,Team 1,72%,28%,24%,76%,52%,48%,201912DetroitWashington,201912WashingtonDetroit,1964,2019,12,True,Detroit,Washington,16.0,19.0,35.0
279,564,2019,12,True,Jacksonville,Tennessee,-2.5,41.0,Team 2,-4.5,42.0,Team 2,51%,49%,57%,43%,58%,42%,201912JacksonvilleTennessee,201912TennesseeJacksonville,1968,2019,12,True,Jacksonville,Tennessee,20.0,42.0,62.0
280,566,2019,12,True,Dallas,NewEngland,-7.0,47.0,Team 2,-5.5,44.5,Team 2,39%,61%,47%,53%,31%,69%,201912DallasNewEngland,201912NewEnglandDallas,1970,2019,12,True,Dallas,NewEngland,9.0,13.0,22.0
281,568,2019,12,True,GreenBay,SanFrancisco,-3.5,44.0,Team 2,-3.0,48.0,Team 2,63%,37%,71%,29%,71%,29%,201912GreenBaySanFrancisco,201912SanFranciscoGreenBay,1972,2019,12,True,GreenBay,SanFrancisco,8.0,37.0,45.0
282,570,2019,12,True,Seattle,Philadelphia,-3.0,49.0,Team 2,-1.5,46.0,Team 1,67%,33%,46%,54%,64%,36%,201912SeattlePhiladelphia,201912PhiladelphiaSeattle,1966,2019,12,True,Seattle,Philadelphia,17.0,9.0,26.0
283,572,2019,12,True,Baltimore,LARams,0.0,49.0,No Favorite,-3.0,47.0,Team 1,64%,36%,63%,37%,71%,29%,201912BaltimoreLARams,201912LARamsBaltimore,1974,2019,12,True,Baltimore,LARams,45.0,6.0,51.0
284,574,2019,13,True,Chicago,Detroit,-1.5,41.0,Team 2,-5.5,37.0,Team 1,71%,29%,53%,47%,89%,11%,201913ChicagoDetroit,201913DetroitChicago,1976,2019,13,True,Chicago,Detroit,24.0,20.0,44.0
285,576,2019,13,True,Buffalo,Dallas,-7.0,45.0,Team 2,-6.5,47.0,Team 2,48%,52%,56%,44%,21%,79%,201913BuffaloDallas,201913DallasBuffalo,1978,2019,13,True,Buffalo,Dallas,26.0,15.0,41.0
286,578,2019,13,True,NewOrleans,Atlanta,-5.5,48.0,Team 1,-7.0,48.0,Team 1,78%,22%,75%,25%,89%,11%,201913NewOrleansAtlanta,201913AtlantaNewOrleans,1980,2019,13,True,NewOrleans,Atlanta,26.0,18.0,44.0
287,580,2019,13,True,GreenBay,NYGiants,-7.5,47.0,Team 1,-6.5,43.5,Team 1,84%,16%,63%,37%,95%,5%,201913GreenBayNYGiants,201913NYGiantsGreenBay,1994,2019,13,True,GreenBay,NYGiants,31.0,13.0,44.0
288,582,2019,13,True,Washington,Carolina,-9.0,41.0,Team 2,-10.5,39.0,Team 2,36%,64%,56%,44%,6%,94%,201913WashingtonCarolina,201913CarolinaWashington,1984,2019,13,True,Washington,Carolina,29.0,21.0,50.0
289,584,2019,13,True,SanFrancisco,Baltimore,-4.5,46.0,Team 2,-6.0,45.0,Team 2,33%,67%,42%,58%,57%,43%,201913SanFranciscoBaltimore,201913BaltimoreSanFrancisco,1982,2019,13,True,SanFrancisco,Baltimore,17.0,20.0,37.0
290,586,2019,13,True,Tennessee,Indianapolis,-3.5,42.0,Team 2,-1.0,42.0,Team 1,58%,42%,76%,24%,43%,57%,201913TennesseeIndianapolis,201913IndianapolisTennessee,1988,2019,13,True,Tennessee,Indianapolis,31.0,17.0,48.0
291,588,2019,13,True,Philadelphia,Miami,-7.5,46.5,Team 1,-10.0,45.0,Team 1,73%,27%,76%,24%,90%,10%,201913PhiladelphiaMiami,201913MiamiPhiladelphia,1992,2019,13,True,Philadelphia,Miami,31.0,37.0,68.0
292,590,2019,13,True,Oakland,KansasCity,-8.5,54.5,Team 2,-11.0,49.5,Team 2,26%,74%,70%,30%,21%,79%,201913OaklandKansasCity,201913KansasCityOakland,2000,2019,13,True,Oakland,KansasCity,9.0,40.0,49.0
293,592,2019,13,True,TampaBay,Jacksonville,-4.5,49.0,Team 2,-3.0,46.5,Team 1,53%,47%,78%,22%,54%,46%,201913TampaBayJacksonville,201913JacksonvilleTampaBay,1990,2019,13,True,TampaBay,Jacksonville,28.0,11.0,39.0
294,594,2019,13,True,NYJets,Cincinnati,-3.5,41.0,Team 1,-2.5,43.0,Team 1,66%,34%,79%,21%,82%,18%,201913NYJetsCincinnati,201913CincinnatiNYJets,1986,2019,13,True,NYJets,Cincinnati,6.0,22.0,28.0
295,596,2019,13,True,LARams,Arizona,-3.5,47.0,Team 1,-2.5,47.5,Team 1,71%,29%,73%,27%,61%,39%,201913LARamsArizona,201913ArizonaLARams,1998,2019,13,True,LARams,Arizona,34.0,7.0,41.0
296,598,2019,13,True,LAChargers,Denver,-1.5,38.0,Team 2,-4.5,38.5,Team 1,70%,30%,40%,60%,71%,29%,201913LAChargersDenver,201913DenverLAChargers,2002,2019,13,True,LAChargers,Denver,20.0,23.0,43.0
297,600,2019,13,True,Cleveland,Pittsburgh,-3.0,40.5,Team 2,-1.0,40.0,Team 1,56%,44%,44%,56%,48%,52%,201913ClevelandPittsburgh,201913PittsburghCleveland,1996,2019,13,True,Cleveland,Pittsburgh,13.0,20.0,33.0
298,602,2019,13,True,NewEngland,Houston,-4.5,44.5,Team 1,-3.5,47.0,Team 1,66%,34%,46%,54%,76%,24%,201913NewEnglandHouston,201913HoustonNewEngland,2004,2019,13,True,NewEngland,Houston,22.0,28.0,50.0
299,604,2019,13,True,Minnesota,Seattle,-3.0,49.0,Team 2,-3.0,48.5,Team 2,33%,67%,49%,51%,25%,75%,201913MinnesotaSeattle,201913SeattleMinnesota,2006,2019,13,True,Minnesota,Seattle,30.0,37.0,67.0
300,606,2019,14,True,Dallas,Chicago,-3.0,225.5,Team 1,-3.0,43.0,Team 1,71%,29%,40%,60%,78%,22%,201914DallasChicago,201914ChicagoDallas,2008,2019,14,True,Dallas,Chicago,24.0,31.0,55.0
301,608,2019,14,True,Baltimore,Buffalo,-7.0,43.0,Team 1,-6.5,44.0,Team 1,61%,39%,63%,37%,72%,28%,201914BaltimoreBuffalo,201914BuffaloBaltimore,2012,2019,14,True,Baltimore,Buffalo,24.0,17.0,41.0
302,610,2019,14,True,Washington,GreenBay,-14.5,42.0,Team 2,-13.0,42.0,Team 2,45%,55%,80%,20%,4%,96%,201914WashingtonGreenBay,201914GreenBayWashington,2016,2019,14,True,Washington,GreenBay,15.0,20.0,35.0
303,612,2019,14,True,Denver,Houston,-7.5,0.5,Team 2,-8.0,42.5,Team 2,51%,49%,41%,59%,13%,87%,201914DenverHouston,201914HoustonDenver,2018,2019,14,True,Denver,Houston,38.0,24.0,62.0
304,614,2019,14,True,SanFrancisco,NewOrleans,-3.0,45.5,Team 2,-1.5,45.0,Team 2,55%,45%,69%,31%,60%,40%,201914SanFranciscoNewOrleans,201914NewOrleansSanFrancisco,2022,2019,14,True,SanFrancisco,NewOrleans,48.0,46.0,94.0
305,616,2019,14,True,Cincinnati,Cleveland,-10.5,43.0,Team 2,-6.5,43.5,Team 2,45%,55%,60%,40%,31%,69%,201914CincinnatiCleveland,201914ClevelandCincinnati,2014,2019,14,True,Cincinnati,Cleveland,19.0,27.0,46.0
306,618,2019,14,True,Carolina,Atlanta,-1.0,48.5,Team 2,-3.5,48.0,Team 2,41%,59%,61%,39%,33%,67%,201914CarolinaAtlanta,201914AtlantaCarolina,2010,2019,14,True,Carolina,Atlanta,20.0,40.0,60.0
307,620,2019,14,True,Detroit,Minnesota,-14.0,42.5,Team 2,-12.5,44.0,Team 2,33%,67%,78%,22%,9%,91%,201914DetroitMinnesota,201914MinnesotaDetroit,2020,2019,14,True,Detroit,Minnesota,7.0,20.0,27.0
308,622,2019,14,True,Miami,NYJets,-7.5,44.0,Team 2,-5.0,47.0,Team 2,55%,45%,79%,21%,59%,41%,201914MiamiNYJets,201914NYJetsMiami,2024,2019,14,True,Miami,NYJets,21.0,22.0,43.0
309,624,2019,14,True,Indianapolis,TampaBay,-1.0,50.5,Team 2,-3.0,46.5,Team 2,51%,49%,69%,31%,53%,47%,201914IndianapolisTampaBay,201914TampaBayIndianapolis,2026,2019,14,True,Indianapolis,TampaBay,35.0,38.0,73.0
310,626,2019,14,True,LAChargers,Jacksonville,-1.0,44.5,Team 1,-3.5,42.0,Team 1,67%,33%,51%,49%,56%,44%,201914LAChargersJacksonville,201914JacksonvilleLAChargers,2028,2019,14,True,LAChargers,Jacksonville,45.0,10.0,55.0
311,628,2019,14,True,KansasCity,NewEngland,-4.0,50.5,Team 2,-3.0,49.0,Team 2,37%,63%,73%,27%,48%,52%,201914KansasCityNewEngland,201914NewEnglandKansasCity,2032,2019,14,True,KansasCity,NewEngland,23.0,16.0,39.0
312,630,2019,14,True,Pittsburgh,Arizona,0.0,45.5,No Favorite,-2.0,43.5,Team 1,51%,49%,67%,33%,54%,46%,201914PittsburghArizona,201914ArizonaPittsburgh,2030,2019,14,True,Pittsburgh,Arizona,23.0,17.0,40.0
313,632,2019,14,True,Tennessee,Oakland,0.0,46.5,No Favorite,-3.0,47.0,Team 1,52%,48%,61%,39%,53%,47%,201914TennesseeOakland,201914OaklandTennessee,2034,2019,14,True,Tennessee,Oakland,42.0,21.0,63.0
314,634,2019,14,True,Seattle,LARams,-3.0,46.5,Team 1,0.0,48.0,No Favorite,56%,44%,66%,34%,51%,49%,201914SeattleLARams,201914LARamsSeattle,2036,2019,14,True,Seattle,LARams,12.0,28.0,40.0
315,636,2019,14,True,NYGiants,Philadelphia,-8.0,46.5,Team 2,-9.0,45.0,Team 2,52%,48%,35%,65%,26%,74%,201914NYGiantsPhiladelphia,201914PhiladelphiaNYGiants,2038,2019,14,True,NYGiants,Philadelphia,17.0,23.0,40.0
316,638,2019,15,True,NYJets,Baltimore,-14.0,44.0,Team 2,-17.0,44.0,Team 2,54%,46%,72%,28%,8%,92%,201915NYJetsBaltimore,201915BaltimoreNYJets,2040,2019,15,True,NYJets,Baltimore,21.0,42.0,63.0
317,640,2019,15,True,TampaBay,Detroit,-4.0,47.5,Team 1,-6.0,46.0,Team 1,58%,42%,82%,18%,81%,19%,201915TampaBayDetroit,201915DetroitTampaBay,2046,2019,15,True,TampaBay,Detroit,38.0,17.0,55.0
318,642,2019,15,True,Philadelphia,Washington,-6.0,40.0,Team 1,-6.5,38.5,Team 1,53%,47%,56%,44%,71%,29%,201915PhiladelphiaWashington,201915WashingtonPhiladelphia,2056,2019,15,True,Philadelphia,Washington,37.0,27.0,64.0
319,644,2019,15,True,Chicago,GreenBay,-7.0,41.0,Team 2,-4.5,41.0,Team 2,49%,51%,56%,44%,27%,73%,201915ChicagoGreenBay,201915GreenBayChicago,2048,2019,15,True,Chicago,GreenBay,13.0,21.0,34.0
320,646,2019,15,True,NewEngland,Cincinnati,-10.5,40.0,Team 1,-10.5,42.0,Team 1,81%,19%,46%,54%,99%,1%,201915NewEnglandCincinnati,201915CincinnatiNewEngland,2044,2019,15,True,NewEngland,Cincinnati,34.0,13.0,47.0
321,648,2019,15,True,Houston,Tennessee,-1.5,47.5,Team 2,-3.0,50.5,Team 2,42%,58%,77%,23%,32%,68%,201915HoustonTennessee,201915TennesseeHouston,2054,2019,15,True,Houston,Tennessee,24.0,21.0,45.0
322,650,2019,15,True,Seattle,Carolina,-4.5,48.5,Team 1,-6.0,49.0,Team 1,76%,24%,56%,44%,76%,24%,201915SeattleCarolina,201915CarolinaSeattle,2042,2019,15,True,Seattle,Carolina,30.0,24.0,54.0
323,652,2019,15,True,Denver,KansasCity,-13.0,46.5,Team 2,-9.5,43.0,Team 2,59%,41%,40%,60%,29%,71%,201915DenverKansasCity,201915KansasCityDenver,2050,2019,15,True,Denver,KansasCity,3.0,23.0,26.0
324,654,2019,15,True,Miami,NYGiants,-3.5,48.0,Team 2,-3.5,46.5,Team 2,53%,47%,58%,42%,33%,67%,201915MiamiNYGiants,201915NYGiantsMiami,2052,2019,15,True,Miami,NYGiants,20.0,36.0,56.0
325,656,2019,15,True,Buffalo,Pittsburgh,-1.0,37.0,Team 2,-1.0,37.0,Team 2,64%,36%,63%,37%,83%,17%,201915BuffaloPittsburgh,201915PittsburghBuffalo,2068,2019,15,True,Buffalo,Pittsburgh,17.0,10.0,27.0
326,658,2019,15,True,Jacksonville,Oakland,-4.5,44.5,Team 2,-7.0,46.5,Team 2,42%,58%,75%,25%,35%,65%,201915JacksonvilleOakland,201915OaklandJacksonville,2060,2019,15,True,Jacksonville,Oakland,20.0,16.0,36.0
327,660,2019,15,True,Cleveland,Arizona,-2.5,47.0,Team 1,-3.0,49.0,Team 1,71%,29%,83%,17%,63%,37%,201915ClevelandArizona,201915ArizonaCleveland,2058,2019,15,True,Cleveland,Arizona,24.0,38.0,62.0
328,662,2019,15,True,Atlanta,SanFrancisco,-11.5,45.5,Team 2,-10.0,49.5,Team 2,34%,66%,47%,53%,10%,90%,201915AtlantaSanFrancisco,201915SanFranciscoAtlanta,2066,2019,15,True,Atlanta,SanFrancisco,29.0,22.0,51.0
329,664,2019,15,True,LARams,Dallas,-4.0,47.0,Team 2,-1.0,48.5,Team 1,79%,21%,71%,29%,56%,44%,201915LARamsDallas,201915DallasLARams,2064,2019,15,True,LARams,Dallas,21.0,44.0,65.0
330,666,2019,15,True,Minnesota,LAChargers,-3.0,46.0,Team 1,-1.5,45.0,Team 1,68%,32%,65%,35%,62%,38%,201915MinnesotaLAChargers,201915LAChargersMinnesota,2062,2019,15,True,Minnesota,LAChargers,39.0,10.0,49.0
331,668,2019,15,True,Indianapolis,NewOrleans,-9.0,44.0,Team 2,-8.5,49.5,Team 2,41%,59%,77%,23%,6%,94%,201915IndianapolisNewOrleans,201915NewOrleansIndianapolis,2070,2019,15,True,Indianapolis,NewOrleans,7.0,34.0,41.0
332,670,2019,16,True,LARams,SanFrancisco,0.0,46.5,No Favorite,-7.0,45.5,Team 2,33%,67%,67%,33%,15%,85%,201916LARamsSanFrancisco,201916SanFranciscoLARams,2076,2019,16,True,LARams,SanFrancisco,31.0,34.0,65.0
333,672,2019,16,True,Buffalo,NewEngland,-7.0,38.5,Team 2,-6.5,39.0,Team 2,52%,48%,51%,49%,57%,43%,201916BuffaloNewEngland,201916NewEnglandBuffalo,2074,2019,16,True,Buffalo,NewEngland,17.0,24.0,41.0
334,674,2019,16,True,Houston,TampaBay,-1.0,53.0,Team 2,-3.0,50.5,Team 1,70%,30%,67%,33%,79%,21%,201916HoustonTampaBay,201916TampaBayHouston,2072,2019,16,True,Houston,TampaBay,23.0,20.0,43.0
335,676,2019,16,True,Detroit,Denver,0.0,37.5,No Favorite,-8.0,40.0,Team 2,34%,66%,47%,53%,9%,91%,201916DetroitDenver,201916DenverDetroit,2092,2019,16,True,Detroit,Denver,17.0,27.0,44.0
336,678,2019,16,True,Oakland,LAChargers,-6.5,47.0,Team 2,-7.5,45.0,Team 2,41%,59%,65%,35%,83%,17%,201916OaklandLAChargers,201916LAChargersOakland,2094,2019,16,True,Oakland,LAChargers,24.0,17.0,41.0
337,680,2019,16,True,Jacksonville,Atlanta,-7.0,46.0,Team 2,-7.5,48.0,Team 2,44%,56%,80%,20%,33%,67%,201916JacksonvilleAtlanta,201916AtlantaJacksonville,2078,2019,16,True,Jacksonville,Atlanta,12.0,24.0,36.0
338,682,2019,16,True,NewOrleans,Tennessee,-1.5,51.0,Team 1,-3.0,49.0,Team 1,70%,30%,45%,55%,89%,11%,201916NewOrleansTennessee,201916TennesseeNewOrleans,2088,2019,16,True,NewOrleans,Tennessee,38.0,28.0,66.0
339,684,2019,16,True,NYGiants,Washington,-3.0,43.0,Team 2,-1.0,42.5,Team 1,43%,57%,90%,10%,42%,58%,201916NYGiantsWashington,201916WashingtonNYGiants,2090,2019,16,True,NYGiants,Washington,41.0,35.0,76.0
340,686,2019,16,True,Pittsburgh,NYJets,-3.0,38.5,Team 1,-3.0,36.5,Team 1,36%,64%,39%,61%,79%,21%,201916PittsburghNYJets,201916NYJetsPittsburgh,2086,2019,16,True,Pittsburgh,NYJets,10.0,16.0,26.0
341,688,2019,16,True,Cincinnati,Miami,-3.0,45.5,Team 2,-1.5,45.5,Team 1,53%,47%,57%,43%,45%,55%,201916CincinnatiMiami,201916MiamiCincinnati,2084,2019,16,True,Cincinnati,Miami,35.0,38.0,73.0
342,690,2019,16,True,Carolina,Indianapolis,-6.5,46.5,Team 2,-7.0,46.5,Team 2,55%,45%,59%,41%,48%,52%,201916CarolinaIndianapolis,201916IndianapolisCarolina,2082,2019,16,True,Carolina,Indianapolis,6.0,38.0,44.0
343,692,2019,16,True,Baltimore,Cleveland,-7.0,49.0,Team 1,-10.0,49.0,Team 1,75%,25%,57%,43%,90%,10%,201916BaltimoreCleveland,201916ClevelandBaltimore,2080,2019,16,True,Baltimore,Cleveland,31.0,15.0,46.0
344,694,2019,16,True,Dallas,Philadelphia,0.0,47.5,No Favorite,-2.5,46.5,Team 1,61%,39%,62%,38%,75%,25%,201916DallasPhiladelphia,201916PhiladelphiaDallas,2096,2019,16,True,Dallas,Philadelphia,9.0,17.0,26.0
345,696,2019,16,True,Arizona,Seattle,-9.5,48.5,Team 2,-8.0,51.0,Team 2,40%,60%,62%,38%,10%,90%,201916ArizonaSeattle,201916SeattleArizona,2098,2019,16,True,Arizona,Seattle,27.0,13.0,40.0
346,698,2019,16,True,KansasCity,Chicago,-4.0,45.0,Team 1,-7.0,45.5,Team 1,60%,40%,61%,39%,86%,14%,201916KansasCityChicago,201916ChicagoKansasCity,2100,2019,16,True,KansasCity,Chicago,26.0,3.0,29.0
347,700,2019,16,True,GreenBay,Minnesota,-4.5,46.5,Team 2,-4.5,47.0,Team 2,60%,40%,61%,39%,71%,29%,201916GreenBayMinnesota,201916MinnesotaGreenBay,2102,2019,16,True,GreenBay,Minnesota,23.0,10.0,33.0
348,702,2019,17,True,Tennessee,Houston,0.0,216.5,No Favorite,-9.5,43.0,Team 1,68%,32%,64%,36%,74%,26%,201917TennesseeHouston,201917HoustonTennessee,2124,2019,17,True,Tennessee,Houston,35.0,14.0,49.0
349,704,2019,17,True,Cleveland,Cincinnati,-2.5,216.5,Team 1,-2.5,43.5,Team 1,64%,36%,74%,26%,73%,27%,201917ClevelandCincinnati,201917CincinnatiCleveland,2108,2019,17,True,Cleveland,Cincinnati,23.0,33.0,56.0
350,706,2019,17,True,Chicago,Minnesota,-7.5,211.5,Team 2,-4.5,35.5,Team 1,59%,41%,66%,34%,60%,40%,201917ChicagoMinnesota,201917MinnesotaChicago,2114,2019,17,True,Chicago,Minnesota,21.0,19.0,40.0
351,708,2019,17,True,Indianapolis,Jacksonville,-1.0,227.5,Team 2,-5.5,41.5,Team 1,69%,31%,41%,59%,52%,48%,201917IndianapolisJacksonville,201917JacksonvilleIndianapolis,2126,2019,17,True,Indianapolis,Jacksonville,20.0,38.0,58.0
352,710,2019,17,True,Atlanta,TampaBay,-2.5,50.5,Team 2,-1.0,48.5,Team 2,69%,31%,76%,24%,42%,58%,201917AtlantaTampaBay,201917TampaBayAtlanta,2118,2019,17,True,Atlanta,TampaBay,28.0,22.0,50.0
353,712,2019,17,True,Washington,Dallas,-7.0,44.0,Team 2,-12.5,47.0,Team 2,36%,64%,56%,44%,18%,82%,201917WashingtonDallas,201917DallasWashington,2122,2019,17,True,Washington,Dallas,16.0,47.0,63.0
354,714,2019,17,True,NewOrleans,Carolina,-11.5,48.0,Team 1,-14.0,45.0,Team 1,73%,27%,71%,29%,98%,2%,201917NewOrleansCarolina,201917CarolinaNewOrleans,2106,2019,17,True,NewOrleans,Carolina,42.0,10.0,52.0
355,716,2019,17,True,Philadelphia,NYGiants,-5.5,45.0,Team 1,-3.5,44.5,Team 1,48%,52%,76%,24%,81%,19%,201917PhiladelphiaNYGiants,201917NYGiantsPhiladelphia,2128,2019,17,True,Philadelphia,NYGiants,34.0,17.0,51.0
356,718,2019,17,True,Pittsburgh,Baltimore,-3.5,41.0,Team 2,-1.5,35.0,Team 1,53%,47%,43%,57%,28%,72%,201917PittsburghBaltimore,201917BaltimorePittsburgh,2120,2019,17,True,Pittsburgh,Baltimore,10.0,28.0,38.0
357,720,2019,17,True,NYJets,Buffalo,-4.0,37.5,Team 2,-1.0,37.0,Team 1,59%,41%,66%,34%,50%,50%,201917NYJetsBuffalo,201917BuffaloNYJets,2104,2019,17,True,NYJets,Buffalo,13.0,6.0,19.0
358,722,2019,17,True,Miami,NewEngland,-14.0,43.5,Team 2,-17.0,45.5,Team 2,31%,69%,55%,45%,4%,96%,201917MiamiNewEngland,201917NewEnglandMiami,2116,2019,17,True,Miami,NewEngland,27.0,24.0,51.0
359,724,2019,17,True,GreenBay,Detroit,-10.5,41.5,Team 1,-13.0,44.0,Team 1,74%,26%,83%,17%,96%,4%,201917GreenBayDetroit,201917DetroitGreenBay,2110,2019,17,True,GreenBay,Detroit,23.0,20.0,43.0
360,726,2019,17,True,LAChargers,KansasCity,-7.5,48.0,Team 2,-10.0,46.0,Team 2,17%,83%,36%,64%,7%,93%,201917LAChargersKansasCity,201917KansasCityLAChargers,2112,2019,17,True,LAChargers,KansasCity,21.0,31.0,52.0
361,728,2019,17,True,Arizona,LARams,-7.5,49.0,Team 2,-7.0,45.5,Team 2,43%,57%,85%,15%,87%,13%,201917ArizonaLARams,201917LARamsArizona,2132,2019,17,True,Arizona,LARams,24.0,31.0,55.0
362,730,2019,17,True,SanFrancisco,Seattle,-1.0,47.0,Team 2,-3.5,47.0,Team 1,47%,53%,64%,36%,58%,42%,201917SanFranciscoSeattle,201917SeattleSanFrancisco,2134,2019,17,True,SanFrancisco,Seattle,26.0,21.0,47.0
363,732,2019,17,True,Oakland,Denver,-5.0,41.5,Team 2,-4.5,41.0,Team 2,71%,29%,67%,33%,85%,15%,201917OaklandDenver,201917DenverOakland,2130,2019,17,True,Oakland,Denver,15.0,16.0,31.0
364,734,2019,18,True,Buffalo,Houston,-3.0,39.5,Team 2,-2.5,43.0,Team 2,49%,51%,48%,52%,47%,53%,201918BuffaloHouston,201918HoustonBuffalo,66,2019,18,True,Buffalo,Houston,19.0,22.0,41.0
365,736,2019,18,True,Tennessee,NewEngland,-5.5,41.5,Team 2,-5.0,45.0,Team 2,35%,65%,57%,43%,30%,70%,201918TennesseeNewEngland,201918NewEnglandTennessee,68,2019,18,True,Tennessee,NewEngland,20.0,13.0,33.0
366,738,2019,18,True,Minnesota,NewOrleans,-8.0,46.0,Team 2,-7.0,50.0,Team 2,32%,68%,75%,25%,16%,84%,201918MinnesotaNewOrleans,201918NewOrleansMinnesota,70,2019,18,True,Minnesota,NewOrleans,26.0,20.0,46.0
367,740,2019,18,True,Seattle,Philadelphia,-1.0,45.5,Team 2,0.0,44.5,No Favorite,76%,24%,61%,39%,64%,36%,201918SeattlePhiladelphia,201918PhiladelphiaSeattle,72,2019,18,True,Seattle,Philadelphia,17.0,9.0,26.0
368,742,2019,19,True,Minnesota,SanFrancisco,-7.0,46.0,Team 2,-7.0,44.5,Team 2,58%,42%,68%,32%,31%,69%,201919MinnesotaSanFrancisco,201919SanFranciscoMinnesota,74,2019,19,True,Minnesota,SanFrancisco,10.0,27.0,37.0
369,744,2019,19,True,Tennessee,Baltimore,-10.0,48.5,Team 2,-10.0,47.5,Team 2,38%,62%,59%,41%,15%,85%,201919TennesseeBaltimore,201919BaltimoreTennessee,76,2019,19,True,Tennessee,Baltimore,28.0,12.0,40.0
370,746,2019,19,True,Houston,KansasCity,-9.0,49.0,Team 2,-10.0,51.0,Team 2,46%,54%,64%,36%,27%,73%,201919HoustonKansasCity,201919KansasCityHouston,78,2019,19,True,Houston,KansasCity,31.0,51.0,82.0
371,748,2019,19,True,Seattle,GreenBay,-3.5,46.0,Team 2,-4.5,45.5,Team 2,43%,57%,62%,38%,51%,49%,201919SeattleGreenBay,201919GreenBaySeattle,80,2019,19,True,Seattle,GreenBay,23.0,28.0,51.0
372,750,2019,20,True,GreenBay,SanFrancisco,-7.0,45.0,Team 2,-8.0,47.0,Team 2,47%,53%,63%,37%,65%,35%,201920GreenBaySanFrancisco,201920SanFranciscoGreenBay,84,2019,20,True,GreenBay,SanFrancisco,20.0,37.0,57.0
373,752,2019,20,True,Tennessee,KansasCity,-7.5,52.0,Team 2,-7.0,51.0,Team 2,38%,62%,59%,41%,40%,60%,201920TennesseeKansasCity,201920KansasCityTennessee,82,2019,20,True,Tennessee,KansasCity,24.0,35.0,59.0
374,756,2019,22,True,SanFrancisco,KansasCity,-1.5,54.0,Team 2,-1.5,53.0,Team 2,45%,55%,71%,29%,51%,49%,201922SanFranciscoKansasCity,201922KansasCitySanFrancisco,86,2019,22,True,SanFrancisco,KansasCity,20.0,31.0,51.0
375,758,2018,1,True,Atlanta,Philadelphia,-4.0,47.0,Team 2,0.0,44.5,No Favorite,62%,38%,55%,45%,67%,33%,20181AtlantaPhiladelphia,20181PhiladelphiaAtlanta,1112,2018,1,True,Atlanta,Philadelphia,12.0,18.0,30.0
376,760,2018,1,True,Pittsburgh,Cleveland,-7.0,47.5,Team 1,-3.5,41.0,Team 1,65%,35%,41%,59%,48%,52%,20181PittsburghCleveland,20181ClevelandPittsburgh,1118,2018,1,True,Pittsburgh,Cleveland,21.0,21.0,42.0
