,index,Season,Week,Include,Team 1,Team 2,Team 1 Final,Team 2 Final,Total Final,Game ID 1,Game ID 2
94,188,2016,4,True,Tennessee,Houston,20.0,27.0,47.0,20164TennesseeHouston,20164HoustonTennessee
95,190,2016,4,True,Cleveland,Washington,20.0,31.0,51.0,20164ClevelandWashington,20164WashingtonCleveland
96,192,2016,4,True,Seattle,NYJets,27.0,17.0,44.0,20164SeattleNYJets,20164NYJetsSeattle
97,194,2016,4,True,Buffalo,NewEngland,16.0,0.0,16.0,20164BuffaloNewEngland,20164NewEnglandBuffalo
98,196,2016,4,True,Carolina,Atlanta,33.0,48.0,81.0,20164CarolinaAtlanta,20164AtlantaCarolina
99,198,2016,4,True,Oakland,Baltimore,28.0,27.0,55.0,20164OaklandBaltimore,20164BaltimoreOakland
100,200,2016,4,True,Detroit,Chicago,14.0,17.0,31.0,20164DetroitChicago,20164ChicagoDetroit
101,202,2016,4,True,Denver,TampaBay,27.0,7.0,34.0,20164DenverTampaBay,20164TampaBayDenver
102,204,2016,4,True,LosAngeles,Arizona,17.0,13.0,30.0,20164LosAngelesArizona,20164ArizonaLosAngeles
103,206,2016,4,True,NewOrleans,SanDiego,35.0,34.0,69.0,20164NewOrleansSanDiego,20164SanDiegoNewOrleans
104,208,2016,4,True,Dallas,SanFrancisco,24.0,17.0,41.0,20164DallasSanFrancisco,20164SanFranciscoDallas
105,210,2016,4,True,KansasCity,Pittsburgh,14.0,43.0,57.0,20164KansasCityPittsburgh,20164PittsburghKansasCity
106,212,2016,4,True,NYGiants,Minnesota,10.0,24.0,34.0,20164NYGiantsMinnesota,20164MinnesotaNYGiants
107,214,2016,5,True,Arizona,SanFrancisco,33.0,21.0,54.0,20165ArizonaSanFrancisco,20165SanFranciscoArizona
108,216,2016,5,True,NewEngland,Cleveland,33.0,13.0,46.0,20165NewEnglandCleveland,20165ClevelandNewEngland
109,218,2016,5,True,Philadelphia,Detroit,23.0,24.0,47.0,20165PhiladelphiaDetroit,20165DetroitPhiladelphia
110,220,2016,5,True,Chicago,Indianapolis,23.0,29.0,52.0,20165ChicagoIndianapolis,20165IndianapolisChicago
111,222,2016,5,True,Tennessee,Miami,30.0,17.0,47.0,20165TennesseeMiami,20165MiamiTennessee
112,224,2016,5,True,Washington,Baltimore,16.0,10.0,26.0,20165WashingtonBaltimore,20165BaltimoreWashington
113,226,2016,5,True,Houston,Minnesota,13.0,31.0,44.0,20165HoustonMinnesota,20165MinnesotaHouston
114,228,2016,5,True,NYJets,Pittsburgh,13.0,31.0,44.0,20165NYJetsPittsburgh,20165PittsburghNYJets
115,230,2016,5,True,Atlanta,Denver,23.0,16.0,39.0,20165AtlantaDenver,20165DenverAtlanta
116,232,2016,5,True,Cincinnati,Dallas,14.0,28.0,42.0,20165CincinnatiDallas,20165DallasCincinnati
117,234,2016,5,True,Buffalo,LosAngeles,30.0,19.0,49.0,20165BuffaloLosAngeles,20165LosAngelesBuffalo
118,236,2016,5,True,SanDiego,Oakland,31.0,34.0,65.0,20165SanDiegoOakland,20165OaklandSanDiego
119,238,2016,5,True,NYGiants,GreenBay,16.0,23.0,39.0,20165NYGiantsGreenBay,20165GreenBayNYGiants
120,240,2016,5,True,TampaBay,Carolina,17.0,14.0,31.0,20165TampaBayCarolina,20165CarolinaTampaBay
121,242,2016,6,True,Denver,SanDiego,13.0,21.0,34.0,20166DenverSanDiego,20166SanDiegoDenver
122,244,2016,6,True,SanFrancisco,Buffalo,16.0,45.0,61.0,20166SanFranciscoBuffalo,20166BuffaloSanFrancisco
123,246,2016,6,True,Philadelphia,Washington,20.0,27.0,47.0,20166PhiladelphiaWashington,20166WashingtonPhiladelphia
124,248,2016,6,True,Cleveland,Tennessee,26.0,28.0,54.0,20166ClevelandTennessee,20166TennesseeCleveland
125,250,2016,6,True,Baltimore,NYGiants,23.0,27.0,50.0,20166BaltimoreNYGiants,20166NYGiantsBaltimore
126,252,2016,6,True,Carolina,NewOrleans,38.0,41.0,79.0,20166CarolinaNewOrleans,20166NewOrleansCarolina
127,254,2016,6,True,Jacksonville,Chicago,17.0,16.0,33.0,20166JacksonvilleChicago,20166ChicagoJacksonville
128,256,2016,6,True,LosAngeles,Detroit,28.0,31.0,59.0,20166LosAngelesDetroit,20166DetroitLosAngeles
129,258,2016,6,True,Pittsburgh,Miami,15.0,30.0,45.0,20166PittsburghMiami,20166MiamiPittsburgh
130,260,2016,6,True,Cincinnati,NewEngland,17.0,35.0,52.0,20166CincinnatiNewEngland,20166NewEnglandCincinnati
131,262,2016,6,True,KansasCity,Oakland,26.0,10.0,36.0,20166KansasCityOakland,20166OaklandKansasCity
132,264,2016,6,True,Atlanta,Seattle,24.0,26.0,50.0,20166AtlantaSeattle,20166SeattleAtlanta
